STATIONNAME,CDEC ID,USGS ID,USACE ID,CNRFC ID,lat,lon,Elevation (feet),RIVER_BASIN,COUNTY,OPERATOR,Gage Type
EL RIO (RIO MESA HIGH SCHOOL),ELH,,,,34.2523,-119.143,0,VENTURA R,VENTURA,Ventura County,temp
GOLDEN GATE,GGT,,,,37.81,-122.474,0,SF BAY,SAN FRANCISCO,National Weather Service,temp
SACRAMENTO RIVER AT MALLARD ISLAND,MAL,,,,38.0428,-121.92009,0,SACRAMENTO R,CONTRA COSTA,CA Dept of Water Resources-DES,temp
SACRAMENTO RIVER AT RIO VISTA BRIDGE,RVB,,,,38.15974,-121.68636,0,SACRAMENTO R,SOLANO,CA Dept of Water Resources-DES,temp
SIMI VALLEY HIGH SCHOOL,SIH,,,,34.2763,-118.6836,0,VENTURA R,VENTURA,Ventura County,temp
SNOW SURVEYS TEST STATION,TST,,,,0,0,0,SACRAMENTO R,SACRAMENTO,CA Dept of Water Resources/Snow Surveys,temp
HARVEY O BANKS PUMPING P (KA000331),HBP,,,,37.80194,-121.62028,4,DELTA,CONTRA COSTA,CA Dept of Water Resources/O & M,temp
SACRAMENTO RIVER AT HOOD,SRH,,,,38.36798,-121.51996,4,SACRAMENTO R,SACRAMENTO,CA Dept of Water Resources-DES,temp
MARTINEZ,MRZ,,,,38.02764,-122.14049,8,EAST BAY,CONTRA COSTA,CA Dept of Water Resources-DES,temp
SAN JOAQUIN RIVER AT ANTIOCH,ANH,,,,38.01783,-121.80296,10,SAN JOAQUIN R,CONTRA COSTA,CA Dept of Water Resources-DES,temp
O&M REAL TIME MONITORING TEST STATION,OMT,,,,38.5755,-121.4977,13,SACRAMENTO R,SACRAMENTO,CA Dept of Water Resources/O & M,temp
DES REAL TIME MONITORING TEST STATION,RTM,,,,38.587,-121.567,13,SACRAMENTO R,YOLO,CA Dept of Water Resources-DES,temp
ROUGH AND READY ISLAND,RRI,,,,37.963,-121.365,15,SAN JOAQUIN R,SAN JOAQUIN,CA Dept of Water Resources-DES,temp
BRYTE TEST SITE,BYT,,,,36.6001,-121.53954,25,SACRAMENTO R,SACRAMENTO,CA Dept of Water Resources/Snow Surveys,temp
CALIFORNIA STATE UNIV AT SACRAMENTO,CSU,,,,38.555,-121.416,25,AMERICAN R,SACRAMENTO,National Weather Service,temp
SACRAMENTO POST OFFICE,SPO,,,,38.583,-121.5,25,SACTO VLY WEST,SACRAMENTO,National Weather Service,temp
SAN JOAQUIN RIVER AT MOSSDALE BRIDGE,MSD,,,,37.786,-121.306,31,SAN JOAQUIN R,SAN JOAQUIN,CA Dept of Water Resources-DES,temp
SAN JOAQUIN R MCCUNE STATION NR VERNALIS,SJR,,,,37.67929,-121.26511,32,SAN JOAQUIN R,SAN JOAQUIN,CA Dept of Water Resources-DES,temp
MAD RIVER NEAR ARCATA,ARC,,,,40.90985,-124.06062,33,MAD R,HUMBOLDT,USGS and DWR,temp
REDWOOD CREEK AT ORICK,ORK,,,,41.29929,-124.05119,36,REDWOOD CR,HUMBOLDT,USGS and DWR,temp
TOMASINI POINT,TMP,,,,38.117,-122.85,40,COAST-MARIN,MARIN,CA Dept of Health Services (Richmond),temp
LEO CARRILLO STATE PARK,LCL,,,,34.046,-118.936,50,VENTURA LA COASTAL,LOS ANGELES,Los Angeles County Fire Dept,temp
TRAVIS AFB,TAF,,,,38.2667,-121.9333,59,DELTA,SOLANO,National Weather Service,temp
SAN LUIS NWR,SAN,,,,37.182,-120.794,65,SAN JOAQUIN R,MERCED,US Fish & Wildlife Service,temp
WOODLAND,WLD,,,,38.688,-121.795,70,SACTO VLY WEST,YOLO,Yolo County,temp
POINT REYES,PTR,,,,38.083,-122.95,80,COAST-MARIN,MARIN,National Weather Service,temp
WESTLEY WEATHER STATION,WWS,,,,37.5172,-121.2308,88,SAN JOAQUIN R,STANISLAUS,Stanislaus County,temp
LAS FLORES-CAMP PENDELTON,LSF,,,,33.289,-117.439,100,SANTA MARGARITA R,SAN DIEGO,US Marine Corps,temp
SACRAMENTO NATIONAL WILDLIFE REFUGE,SWR,,,,39.4172,-122.1825,100,SACRAMENTO R,GLENN,US Fish & Wildlife Service,temp
THERMALITO RIVER OUTLET WEATHER STATION,TWS,,,,39.458,-121.671,110,FEATHER R,BUTTE,CA Dept of Water Resources/O & M,temp
SAN RAFAEL CIVIC CENTER,SFC,,,,37.998,-122.537,120,COAST-MARIN,MARIN,Marin County,temp
MRECED R AT AMSTERDAM RD,AMR,,,,37.46806,-120.53889,173,MERCED R,MERCED,Merced Irrigation District,temp
BLACK RASCAL DIVERSION,BDV,,,,37.3328,-120.3944,183,MERCED R,MERCED,US Army Corps of Engineers,temp
OAKDALE WEATHER STATION,OKW,,,,37.7347,-120.845,186,STANISLAUS R,STANISLAUS,Stanislaus County,temp
LINCOLN,LCN,,,,38.882,-121.272,200,AMERICAN R,PLACER,CAL FIRE,temp
FOUNTAIN SPRINGS,FTS,,,,35.8911,-118.9156,210,KERN R,TULARE,CAL FIRE,temp
MERCED R AT HWY 59 (MID),H59,,,,37.47028,-120.5,210,MERCED R,MERCED,Merced Irrigation District,temp
LAKE SONOMA WEATHER,LSW,,,,38.7161,-122.9967,224,RUSSIAN R,SONOMA,US Army Corps of Engineers,temp
CRABTREE WEATHER STATION,CWS,,,,37.725,-120.6006,226,TUOLUMNE R,STANISLAUS,Stanislaus County,temp
CHICO,CHI,,,,39.712,-121.783,230,BUTTE CR,BUTTE,CAL FIRE,temp
SACRAMENTO R AT RED BLUFF DIVERSION DAM,RDB,,,,40.15436,-122.20195,236,SACRAMENTO R,TEHAMA,US Bureau of Reclamation,temp
BEAR RIVER AT CAMP FAR WEST DAM,CFW,,,,39.05,-121.317,260,BEAR R,YUBA,CA Dept of Water Resources/Flood Management,temp
OPENSHAW,OPS,,,,39.58983,-121.63516,268,COTTONWOOD CR,BUTTE,CAL FIRE,temp
CAHUILLA,CAU,,,,32.974,-115.174,278,COLORADO R,IMPERIAL,US Bureau of Land Management,temp
CORNING AIRPORT,CRG,,,,39.939,-122.17,294,SACRAMENTO R,TEHAMA,CAL FIRE,temp
SQUAW LAKE,SQK,,,,32.908,-114.494,300,COLORADO R,IMPERIAL,US Bureau of Land Management,temp
TRINITY RIVER NEAR WEITCHPEC,WPC,,,,41.179,-123.706,300,TRINITY R,HUMBOLDT,US Bureau of Reclamation,temp
BUTTERCUP,BUT,,,,32.74,-114.884,320,COLORADO R,IMPERIAL,US Bureau of Land Management,temp
DRY CK AT FIELDS RD,DFR,,,,37.57889,-120.38944,321,MERCED R,MERCED,Merced Irrigation District,temp
FOLSOM DAM - FOLSOM POINT (DYKE 8),FLD,,,,38.69305,-121.12972,350,AMERICAN R,SACRAMENTO,National Weather Service,temp
LOS BANOS (CDF),LBN,,,,37.053,-121.049,350,SAN JOAQUIN R,MERCED,CAL FIRE,temp
SACRAMENTO RIVER AT BALLS FERRY BRIDGE,BSF,,,,40.417,-122.193,360,SACRAMENTO R,TEHAMA,US Bureau of Reclamation,temp
BROOKS,BSS,,,,38.73834,-122.14472,360,CACHE CR,YOLO,CAL FIRE,temp
CHEROKEE CANAL,CHR,,,,39.652,-121.643,360,SACRAMENTO R,BUTTE,CA Dept of Water Resources,temp
HONEYDEW,HNY,,,,40.23,-124.148,370,MATTOLE R,HUMBOLDT,CA Dept of Water Resources/Flood Management,temp
GASQUET RANGER STATION,GAS,,,,41.85,-123.967,384,SMITH R,DEL NORTE,CA Dept of Water Resources/Flood Management,temp
