Zip Code ZCTA,2010 Census Population
01001,16769
01002,29049
01003,10372
01005,5079
01007,14649
01008,1263
01009,741
01010,3609
01011,1370
01012,661
01013,23188
01020,29668
01022,2451
01026,946
01027,17660
01028,15720
01029,789
01030,11669
01031,1308
01032,570
01033,6227
01034,2021
01035,5250
01036,5109
01037,838
01038,2545
01039,1336
01040,39880
01050,2530
01053,1685
01054,1851
01056,21103
01057,8534
01060,15284
01062,11150
01063,430
01066,64
01068,1902
01069,8469
01070,629
01071,1596
01072,1478
01073,5792
01074,319
01075,17527
01077,9502
01079,692
01080,2334
01081,1698
01082,10322
01083,2888
01084,176
01085,41117
01086,687
01088,670
01089,28391
01092,1394
01093,325
01094,351
01095,14319
01096,2217
01097,111
01098,1101
01103,2479
01104,22865
01105,12350
01106,16021
01107,11611
01108,26688
01109,30250
01118,14071
01119,14152
01128,2631
01129,7019
01151,8698
01199,0
01201,46504
01220,8603
01222,829
01223,2314
01224,182
01225,3117
01226,6945
01229,95
01230,8430
01235,2766
01236,1509
01237,2496
01238,6047
01240,4534
01242,476
01243,334
01244,151
01245,985
01247,16087
01253,731
01254,972
01255,915
01256,692
01257,2121
01258,374
01259,635
01260,240
01262,1238
01264,137
01266,1463
01267,7989
01270,778
01301,17700
01330,1506
01331,13263
01337,2596
01338,187
01339,1438
01340,1701
01341,1833
01342,1492
01343,75
01344,1498
01346,533
01347,166
01349,1091
01350,121
01351,2270
01354,1500
01355,878
01360,3032
01364,7969
01366,1277
01367,522
01368,1261
01370,4084
01373,4600
01375,3684
01376,5247
01378,774
01379,813
01420,40337
01430,6089
01431,3074
01432,7089
01434,1795
01436,3336
01438,559
01440,20347
01450,10646
01451,4747
01452,4382
01453,40883
01460,8924
01462,10086
01463,11497
01464,7211
01467,316
01468,4021
01469,6801
01473,7277
01474,2125
01475,10270
01501,16075
01503,2866
01504,9026
01505,4355
01506,3390
01507,12981
01510,13606
01515,2183
01516,8500
01518,2974
01519,6595
01520,13997
01521,2481
01522,3310
01523,7582
01524,6696
01525,290
01527,13246
01529,3190
01531,999
01532,14155
01534,5631
01535,4680
01536,6888
01537,2248
01540,11291
01541,3413
01542,2202
01543,7973
01545,35299
01550,16719
01560,4527
01561,330
01562,11688
01564,7808
01566,6294
01568,7480
01569,13569
01570,16767
01571,11390
01581,18272
01583,7591
01585,4554
01588,9733
01590,8875
01602,22819
01603,19916
01604,34677
01605,26221
01606,19077
01607,8351
01608,3888
01609,22421
01610,23945
01611,2242
01612,4845
01701,31217
01702,37206
01718,469
01719,4996
01720,21361
01721,16593
01730,13221
01731,1396
01740,4897
01741,4852
01742,17726
01745,397
01746,13547
01747,5911
01748,14925
01749,19063
01752,38499
01754,10106
01756,5839
01757,28061
01760,32786
01770,4119
01772,9370
01773,5112
01775,6590
01776,17659
01778,13109
01801,38903
01803,24487
01810,33201
01821,30310
01824,24911
01826,29422
01827,3179
01830,25137
01832,22060
01833,8183
01834,6459
01835,13682
01840,4733
01841,47225
01843,24425
01844,47249
01845,28352
01850,15237
01851,30190
01852,33508
01854,27606
01860,6338
01862,10227
01863,8891
01864,14892
01867,23956
01876,28667
01879,11305
01880,24733
01886,21951
01887,22325
01890,21382
01901,1689
01902,45139
01904,18203
01905,25251
01906,26660
01907,14027
01908,3410
01913,16283
01915,39502
01921,7961
01922,3108
01923,26342
01929,3504
01930,28789
01937,151
01938,13175
01940,12108
01944,5136
01945,19808
01949,8987
01950,17416
01951,3558
01952,8283
01960,50944
01966,6952
01969,5856
01970,41109
01982,7764
01983,6089
01984,4875
01985,4235
02019,16332
02021,21561
02025,7542
02026,24711
02030,5589
02032,4226
02035,16865
02038,31635
02043,22157
02045,10293
02047,180
02048,23184
02050,25429
02052,12024
02053,12752
02054,7891
02056,10981
02061,10506
02062,28602
02066,17656
02067,17486
02071,1707
02072,26999
02081,18472
02090,14636
02093,10955
02108,3825
02109,3771
02110,1733
02111,7383
02113,6915
02114,11999
02115,28441
02116,20628
02118,26498
02119,25346
02120,15181
02121,25978
02122,23479
02124,47783
02125,33295
02126,25562
02127,31799
02128,40508
02129,16439
02130,35401
02131,29826
02132,25861
02134,21503
02135,42780
02136,28488
02138,36314
02139,36349
02140,17607
02141,11910
02142,3141
02143,24514
02144,23891
02145,25439
02148,59503
02149,41550
02150,35124
02151,51808
02152,17497
02155,57964
02163,2582
02169,55055
02170,19505
02171,17711
02176,26983
02180,21437
02184,35744
02186,27003
02188,14608
02189,14559
02190,16119
02191,8457
02199,1146
02203,0
02210,2090
02215,26125
02301,61025
02302,32741
02322,4356
02324,26563
02330,11509
02332,15059
02333,13794
02338,7518
02339,13879
02341,10218
02343,10745
02346,23106
02347,10612
02351,16029
02356,12564
02357,1360
02359,17828
02360,56271
02364,12629
02366,197
02367,2820
02368,32158
02370,17489
02375,9188
02379,6916
02382,14489
02420,14052
02421,17342
02445,20679
02446,29311
02451,17426
02452,14238
02453,28968
02457,1432
02458,12131
02459,19095
02460,8742
02461,7059
02462,1554
02464,2953
02465,11710
02466,8096
02467,22491
02468,5273
02472,32014
02474,26312
02476,16532
02478,24664
02481,16244
02482,10306
02492,19931
02493,11261
02494,8955
02532,12690
02534,842
02535,1177
02536,19583
02537,6293
02538,3603
02539,4067
02540,8221
02542,1139
02543,635
02553,226
02554,9852
02556,3115
02557,4491
02558,2156
02559,3376
02561,539
02562,2977
02563,10359
02564,310
02568,4000
02571,10481
02575,2725
02576,3754
02584,10
02601,14089
02630,1850
02631,9679
02632,10742
02633,3884
02635,3296
02637,253
02638,3207
02639,2875
02641,532
02642,4937
02643,26
02644,3955
02645,9663
02646,1676
02647,129
02648,7301
02649,14006
02650,848
02651,16
02652,1175
02653,5911
02655,3518
02657,2942
02659,1108
02660,6261
02663,173
02664,9371
02666,828
02667,2580
02668,3278
02669,285
02670,1307
02671,1023
02672,180
02673,8402
02675,6577
02702,4125
02703,43593
02713,52
02715,3123
02717,4745
02718,6655
02719,15873
02720,30287
02721,26290
02723,14767
02724,16908
02725,2631
02726,15534
02738,4907
02739,6045
02740,43087
02743,10307
02744,11900
02745,24576
02746,15342
02747,22927
02748,11442
02760,26739
02762,8264
02763,1973
02764,3988
02766,19031
02767,13566
02769,11608
02770,5093
02771,13708
02777,15840
02779,6411
02780,49036
02790,15717
02791,246
02802,786
02804,2607
02806,16310
02807,1051
02808,2401
02809,22938
02812,1497
02813,7831
02814,7496
02815,278
02816,32611
02817,6135
02818,18082
02822,6111
02825,5377
02826,791
02827,2172
02828,7704
02830,5976
02831,3515
02832,4608
02833,784
02835,5405
02836,136
02837,3492
02838,3400
02839,1902
02840,23335
02841,1392
02842,16095
02852,22551
02857,8412
02858,570
02859,6738
02860,45199
02861,14
02861,26164
02863,19385
02864,33396
02865,16951
02871,17171
02872,218
02873,235
02874,5860
02875,307
02876,430
02878,15780
02879,20371
02881,7841
02882,14184
02885,10627
02886,29269
02888,19912
02889,28217
02891,21198
02892,4988
02893,29630
02894,722
02895,41186
02896,11537
02898,1696
02903,10780
02904,29359
02905,25223
02906,28387
02907,27445
02908,37467
02909,43540
02910,21000
02911,15574
02912,1370
02914,21963
02915,16897
02916,8139
02917,13762
02919,28790
02920,37547
02921,12361
03031,11247
03032,4953
03033,4987
03034,3970
03036,4782
03037,4219
03038,33269
03042,6341
03043,1573
03044,4263
03045,13560
03046,2758
03047,1767
03048,3426
03049,7688
03051,24480
03052,8258
03053,23957
03054,25477
03055,15086
03057,2500
03060,29357
03062,26694
03063,16216
03064,14227
03070,5254
03071,5109
03076,12897
03077,10155
03079,28776
03082,1615
03084,1366
03086,3728
03087,13592
03101,3049
03102,31096
03103,36476
03104,32798
03106,13374
03109,10314
03110,21203
03215,247
03216,2159
03217,2076
03218,960
03220,7430
03221,2091
03222,5353
03223,3427
03224,2318
03225,3660
03226,1117
03227,925
03229,5589
03230,1231
03231,202
03233,115
03234,4572
03235,8562
03237,2254
03238,75
03240,1340
03241,876
03242,4836
03243,1085
03244,8092
03245,2027
03246,15963
03249,7113
03251,1662
03253,6219
03254,4049
03255,2090
03256,2169
03257,4455
03258,2517
03259,368
03260,809
03261,4246
03262,1231
03263,4114
03264,7468
03266,2163
03268,1272
03269,2966
03273,312
03275,11437
03276,8324
03278,2952
03279,829
03280,1123
03281,8785
03282,902
03284,999
03285,2479
03287,1295
03290,4731
03291,39
03293,143
03301,33008
03303,15524
03304,7519
03307,5334
03431,25280
03440,2692
03441,395
03442,1491
03443,742
03444,1590
03445,691
03446,6285
03447,2422
03448,811
03449,1654
03450,961
03451,4077
03452,5457
03455,2086
03456,742
03457,852
03458,6643
03461,6014
03462,1562
03464,1109
03465,2156
03466,1332
03467,1842
03470,5033
03561,5939
03570,10051
03574,2526
03575,124
03576,3238
03579,103
03579,358
03580,1369
03581,3230
03582,2577
03583,1107
03584,3774
03585,2519
03586,547
03588,1641
03590,1052
03592,1145
03593,313
03595,639
03597,521
03598,3285
03601,477
03602,2654
03603,5412
03604,69
03605,1160
03607,322
03608,2811
03609,854
03740,911
03741,4208
03743,14103
03745,1424
03746,216
03748,4762
03750,870
03751,583
03752,810
03753,2971
03754,86
03755,10538
03765,503
03766,8958
03768,1716
03770,524
03771,754
03773,7841
03774,1966
03777,1237
03779,790
03780,410
03781,1840
03782,2945
03784,4086
03785,2400
03801,21532
03809,3716
03810,1538
03811,6753
03812,824
03813,3250
03814,2329
03816,1368
03817,574
03818,3807
03819,4377
03820,30039
03823,1719
03824,14638
03825,8512
03826,2470
03827,3150
03830,1610
03832,395
03833,20955
03835,6786
03836,1489
03837,1519
03838,1031
03839,3735
03840,3566
03841,6334
03842,15345
03844,2238
03845,991
03846,799
03847,294
03848,6020
03849,1585
03850,372
03851,4040
03852,558
03853,602
03854,968
03855,2638
03856,1680
03857,9006
03858,4603
03860,4056
03861,4330
03862,4278
03864,1696
03865,7609
03867,20758
03868,5323
03869,2469
03870,5162
03871,136
03872,3809
03873,5711
03874,8776
03875,833
03878,11824
03882,1465
03883,178
03884,3964
03885,7261
03886,2112
03887,2154
03890,327
03894,6314
03901,7246
03902,2211
03903,6211
03904,7703
03905,1780
03906,4647
03907,894
03908,7233
03909,9738
03910,328
03911,250
04001,2429
04002,7351
04003,330
04005,23146
04006,96
04008,2723
04009,5151
04010,1597
04011,20278
04015,3808
04017,341
04019,71
04020,1403
04021,5820
04022,1148
04024,608
04027,6031
04029,1725
04030,2208
04032,7879
04037,3834
04038,16381
04039,7422
04040,3111
04041,1613
04042,4281
04043,10810
04046,7496
04047,1892
04048,2946
04049,3659
04050,230
04051,1153
04055,3793
04056,257
04057,56
04061,3369
04062,17020
04063,412
04064,8212
04066,539
04068,1505
04069,1465
04071,4801
04072,18482
04073,16189
04074,18760
04076,2683
04079,3871
04083,4525
04084,8088
04085,1786
04086,8787
04087,2116
04088,1516
04090,9589
04091,911
04092,17515
04093,8034
04095,1274
04096,8349
04097,3574
04101,17227
04102,17335
04103,30606
04105,11158
04106,25175
04107,8980
04108,862
04109,93
04110,1391
04210,23045
04216,640
04217,3312
04219,1472
04220,3077
04221,1098
04222,3848
04224,3040
04226,190
04227,79
04228,6
04231,236
04234,168
04236,4350
04237,238
04238,1416
04239,4851
04240,36592
04250,4228
04252,4799
04253,2095
04254,3181
04255,802
04256,3064
04257,2681
04258,2617
04259,3264
04260,5542
04261,444
04263,2326
04265,918
04267,37
04268,5023
04270,5880
04271,67
04274,5343
04275,514
04276,5841
04280,6474
04281,5116
04282,5734
04284,1138
04285,433
04286,47
04287,3224
04289,1815
04290,1541
04292,948
04294,3995
04330,26086
04342,1672
04343,25
04344,2951
04345,11646
04346,1772
