StationNumber,Temperature,Latitude,Longitude,State
724955,75.3,38.213,-122.281,CA
724955,75.3,38.21,-122.285,CA
998173,55.0,36.8,-121.783,CA
703855,53.9,56.95,-133.9,AK
703855,53.9,56.967,-133.9,AK
701335,51.2,67.55,-162.967,AK
701335,51.2,67.566,-162.975,AK
722821,84.9,31.022,-92.11,LA
722821,84.9,31.022,-92.911,LA
727458,60.4,47.217,-93.517,MN
727458,60.4,47.211,-93.51,MN
703165,52.7,55.333,-160.5,AK
703165,52.7,55.319,-160.521,AK
703870,53.1,56.484,-132.37,AK
703870,53.1,56.473,-132.387,AK
723564,74.8,36.033,-95.983,OK
723564,74.8,36.039,-95.984,OK
724475,68.4,38.833,-94.883,KS
724475,68.4,38.832,-94.89,KS
724460,67.0,39.297,-94.731,MO
726416,70.3,43.217,-90.183,WI
726416,70.3,43.212,-90.181,WI
724555,70.3,39.133,-96.667,KS
724555,70.3,39.135,-96.679,KS
725565,65.0,41.45,-97.333,NE
725565,65.0,41.433,-97.35,NE
725499,67.9,40.633,-93.9,IA
725499,67.9,40.631,-93.901,IA
726430,70.6,43.879,-91.253,WI
720499,67.6,36.78,-76.449,VA
720499,67.6,36.783,-76.45,VA
723419,84.8,33.221,-92.814,AR
722527,85.7,29.117,-95.467,TX
722527,85.7,29.11,-95.462,TX
724125,64.5,37.296,-81.208,WV
724125,64.5,37.298,-81.204,WV
722555,88.2,28.725,-96.254,TX
727815,46.4,47.277,-121.337,WA
722524,85.1,28.083,-97.05,TX
722524,85.1,28.084,-97.046,TX
722484,85.2,32.54,-93.745,LA
722484,85.2,32.543,-93.745,LA
703980,53.1,55.039,-131.579,AK
725560,64.2,41.986,-97.435,NE
722510,86.3,27.774,-97.512,TX
703644,42.9,70.2,-151.0,AK
703644,42.9,70.212,-151.002,AK
704540,47.1,51.883,-176.65,AK
704540,47.1,51.883,-176.65,AK
722429,85.6,30.067,-95.55,TX
722429,85.6,30.068,-95.556,TX
723450,68.5,36.267,-93.157,AR
703710,53.4,57.048,-135.365,AK
725525,62.2,40.605,-98.428,NE
725525,62.2,40.601,-98.426,NE
723565,72.5,36.767,-96.017,OK
723565,72.5,36.768,-96.026,OK
726500,68.4,43.167,-95.15,IA
726500,68.4,43.164,-95.202,IA
723443,69.0,36.2,-94.483,AR
723443,69.0,36.191,-94.491,AR
727910,56.4,46.157,-123.883,OR
723444,69.0,36.346,-94.219,AR
723444,69.0,36.35,-94.217,AR
725480,72.6,42.554,-92.401,IA
703894,54.8,55.567,-133.067,AK
703894,54.8,55.58,-133.075,AK
724502,73.0,37.167,-97.033,KS
724502,73.0,37.168,-97.037,KS
998497,64.3,41.976,-87.648,IL
994280,52.8,44.61,-124.07,
998208,75.1,34.333,-80.7,SC
998205,75.7,33.667,-82.2,
997239,85.7,28.87,-90.48,
997343,71.3,42.4,-86.28,MI
997275,72.0,43.65,-70.25,ME
722367,81.7,38.783,-93.8,MO
722367,81.7,38.783,-93.8,MO
723408,82.8,35.967,-89.933,AR
723408,82.8,35.967,-89.95,AR
703817,56.3,58.2,-136.35,AK
703817,56.3,58.192,-136.344,AK
722560,85.1,31.619,-97.228,TX
725204,75.4,40.767,-80.383,PA
725204,75.4,40.767,-80.4,PA
725074,81.6,41.583,-71.417,RI
725074,81.6,41.597,-71.412,RI
724057,72.5,39.467,-76.167,MD
724057,72.5,39.472,-76.17,MD
723756,77.0,34.849,-111.788,AZ
723756,77.0,34.85,-111.783,AZ
723105,80.6,33.921,-80.801,SC
723105,80.6,33.921,-80.801,SC
723105,80.6,33.967,-80.8,SC
722787,91.8,33.527,-112.295,AZ
722787,91.8,33.527,-112.295,AZ
722341,85.1,29.3,-81.117,FL
722341,85.1,29.296,-81.113,FL
727517,67.4,44.75,-94.083,MN
727517,67.4,44.756,-94.081,MN
785265,83.9,18.457,-66.098,PR
724339,74.9,37.75,-89.017,IL
724339,74.9,37.75,-89.0,IL
722955,67.5,33.802,-118.342,CA
722955,67.5,33.803,-118.34,CA
722955,67.5,33.803,-118.34,CA
722046,84.3,28.517,-80.8,FL
722046,84.3,28.517,-80.8,FL
998008,88.1,26.033,-81.7,FL
722138,87.4,30.367,-89.45,MS
722138,87.4,30.367,-89.45,MS
722138,87.4,30.368,-89.455,MS
724938,76.0,37.512,-122.25,CA
724938,76.0,37.517,-122.25,CA
722361,83.5,29.056,-80.948,FL
722361,83.5,29.054,-80.948,FL
723434,68.1,36.183,-94.117,AR
723434,68.1,36.167,-94.117,AR
723067,75.9,35.332,-77.609,NC
723067,75.9,35.317,-77.633,NC
722788,90.1,33.417,-112.383,AZ
722788,90.1,33.417,-112.383,AZ
724363,71.6,39.25,-85.883,IN
724363,71.6,39.267,-85.9,IN
727473,60.9,48.267,-92.483,MN
727473,60.9,48.267,-92.483,MN
724015,73.6,37.083,-77.95,VA
724015,73.6,37.074,-77.958,VA
720172,81.1,34.545,-94.203,AR
720172,81.1,34.545,-94.203,AR
785140,80.5,18.498,-67.129,PR
722436,86.3,29.6,-95.167,TX
722436,86.3,29.617,-95.167,TX
725846,52.5,39.32,-120.133,CA
725846,52.5,39.32,-120.139,CA
720417,68.9,37.583,-101.733,KS
721045,67.3,39.333,-94.31,MO
721045,67.3,39.332,-94.31,MO
720672,80.5,29.467,-81.206,FL
726507,70.9,42.883,-90.233,WI
726507,70.9,42.887,-90.236,WI
745430,70.9,37.7,-98.75,KS
745430,70.9,37.702,-98.747,KS
720475,67.6,40.353,-94.915,MO
749171,65.8,35.135,-118.439,CA
749171,65.8,35.135,-118.439,CA
744653,71.6,38.15,-89.7,IL
744653,71.6,38.149,-89.699,IL
722189,84.6,27.183,-80.217,FL
722189,84.6,27.182,-80.221,FL
724810,79.9,37.38,-120.568,CA
724810,79.9,37.383,-120.567,CA
722067,86.3,30.217,-81.883,FL
722067,86.3,30.219,-81.877,FL
722067,86.3,30.219,-81.876,FL
720609,76.5,32.921,-80.641,SC
720609,76.5,32.917,-80.633,SC
724973,79.8,39.8,-121.867,CA
724973,79.8,39.8,-121.85,CA
720671,79.2,31.554,-81.883,GA
720671,79.2,31.554,-81.883,GA
722244,71.6,38.981,-76.922,MD
722244,71.6,38.981,-76.922,MD
745985,72.9,36.633,-80.017,VA
745985,72.9,36.631,-80.018,VA
720594,86.8,29.717,-95.383,TX
720594,86.8,29.717,-95.383,TX
722721,71.0,32.633,-108.167,NM
726395,57.7,44.45,-83.4,MI
726395,57.7,44.45,-83.4,MI
720586,71.2,42.689,-90.444,WI
720586,71.2,42.683,-90.45,WI
726593,65.8,43.65,-94.987,MN
726593,65.8,43.65,-94.986,MN
722907,68.3,32.833,-116.967,CA
722907,68.3,32.826,-116.973,CA
720409,72.7,34.85,-83.983,GA
726391,39.6,38.78,-106.22,CO
726391,39.6,38.783,-106.217,CO
725292,70.6,41.717,-92.7,IA
722332,63.4,45.469,-89.806,WI
722332,63.4,45.469,-89.806,WI
720949,71.4,37.974,-92.691,MO
720949,71.4,37.974,-92.691,MO
722132,74.8,35.383,-80.7,NC
722132,74.8,35.39,-80.707,NC
720404,82.5,33.85,-98.483,TX
720404,82.5,33.85,-98.483,TX
726583,67.4,45.1,-94.5,MN
726583,67.4,45.147,-94.507,MN
720414,67.9,40.333,-82.517,OH
720414,67.9,40.333,-82.517,OH
724694,54.3,39.785,-104.543,CO
724694,54.3,39.784,-104.538,CO
720160,67.1,37.601,-81.559,WV
720160,67.1,37.6,-81.559,WV
720331,78.9,36.226,-90.037,MO
722362,85.3,33.167,-95.617,TX
722362,85.3,33.167,-95.617,TX
722061,31.5,39.467,-106.15,CO
722061,31.5,39.467,-106.15,CO
726558,55.2,46.7,-92.5,MN
726558,55.2,46.703,-92.504,MN
723055,73.3,35.767,-80.95,NC
723055,73.3,35.765,-80.957,NC
722051,80.2,28.545,-81.333,OK
722051,80.2,34.398,-96.148,OK
722051,80.2,34.398,-96.148,OK
720322,58.3,48.3,-116.567,ID
720322,58.3,48.299,-116.56,ID
720953,85.1,29.248,-88.441,LA
720953,85.1,29.248,-88.441,LA
720422,58.8,39.428,-101.046,KS
722637,74.0,35.9,-100.4,TX
722637,74.0,35.9,-100.4,TX
724836,80.1,38.668,-121.401,CA
724836,80.1,38.667,-121.4,CA
720781,68.7,38.343,-98.227,KS
722007,62.6,43.459,-83.446,MI
725564,70.2,41.449,-96.52,NE
725564,70.2,41.449,-96.52,NE
720632,75.1,33.063,-80.279,SC
720632,75.1,33.063,-80.279,SC
720301,77.4,32.645,-81.596,GA
720301,77.4,32.646,-81.596,GA
720592,81.4,30.461,-87.877,AL
720592,81.4,30.46,-87.877,AL
727486,64.0,48.15,-94.517,MN
727486,64.0,48.154,-94.517,MN
720446,72.0,37.814,-85.5,KY
721046,85.2,30.167,-90.933,LA
721046,85.2,30.173,-90.941,LA
720330,74.1,38.6,-87.733,IL
720330,74.1,38.607,-87.727,IL
747809,80.1,33.983,-83.667,GA
747809,80.1,33.983,-83.668,GA
725373,65.1,42.1,-83.167,MI
725373,65.1,42.099,-83.161,MI
720279,75.3,34.6,-78.583,NC
720279,75.3,34.602,-78.578,NC
720281,85.0,34.226,-99.284,TX
720281,85.0,34.226,-99.284,TX
720616,67.5,36.533,-93.2,MO
720616,67.5,36.533,-93.2,MO
720599,72.7,34.783,-81.2,SC
720599,72.7,34.783,-81.2,SC
720759,58.8,46.251,-114.125,MT
722683,67.0,33.467,-105.533,NM
722683,67.0,33.45,-105.517,NM
722155,46.7,39.217,-104.633,CO
722155,46.7,39.217,-104.633,CO
722157,72.8,40.517,-90.65,IL
722157,72.8,40.52,-90.652,IL
746940,73.1,35.467,-77.967,NC
746940,73.1,35.46,-77.965,NC
725283,60.3,42.241,-78.371,NY
725283,60.3,42.241,-78.371,NY
720516,46.8,42.711,-110.942,WY
720645,74.3,38.724,-120.753,CA
720645,74.3,38.717,-120.75,CA
722177,72.6,35.2,-83.867,NC
722177,72.6,35.195,-83.865,NC
720856,77.0,34.689,-86.006,AL
720856,77.0,34.689,-86.006,AL
720722,85.1,29.117,-91.867,LA
720722,85.1,29.117,-91.867,LA
725512,64.9,40.897,-97.623,NE
725512,64.9,40.894,-97.626,NE
722406,85.1,29.567,-90.66,LA
722406,85.1,29.566,-90.66,LA
720668,85.9,27.817,-94.317,TX
720668,85.9,27.817,-94.317,TX
720544,55.9,40.615,-103.265,CO
720544,55.9,40.617,-103.267,CO
720775,75.9,35.507,-86.804,TN
722107,82.0,32.674,-102.653,TX
722107,82.0,32.675,-102.654,TX
997788,51.4,56.0,-134.133,AK
722693,76.4,32.833,-105.983,NM
722693,76.4,32.84,-105.991,NM
726437,66.3,43.967,-90.733,WI
726437,66.3,43.967,-90.733,WI
723425,85.0,33.623,-92.763,AR
723425,85.0,33.617,-92.767,AR
725378,65.9,42.633,-83.983,MI
725378,65.9,42.629,-83.984,MI
720531,57.5,38.783,-108.067,CO
720531,57.5,38.783,-108.067,CO
726427,49.0,46.683,-92.1,WI
726427,49.0,46.689,-92.094,WI
725253,64.1,41.21,-81.252,OH
725253,64.1,41.217,-81.25,OH
722075,71.8,41.93,-88.71,IL
722075,71.8,41.932,-88.708,IL
722355,85.0,32.233,-90.933,MS
720925,84.6,27.2,-90.033,LA
720925,84.6,27.2,-90.033,LA
722252,66.1,44.729,-96.266,MN
727514,63.6,46.383,-94.8,MN
727514,63.6,46.381,-94.806,MN
720313,72.3,35.617,-100.983,NM
720313,72.3,35.613,-100.996,TX
725406,60.5,43.783,-82.983,MI
725406,60.5,43.78,-82.986,MI
720327,65.7,44.883,-91.867,WI
720327,65.7,44.892,-91.868,WI
720954,84.8,26.939,-94.689,
720954,84.8,26.933,-94.683,TX
725513,61.9,40.9,-97.983,NE
725513,61.9,40.893,-97.997,NE
720617,85.8,29.8,-95.9,
720617,85.8,29.8,-95.9,TX
720897,74.9,33.782,-83.693,GA
720294,74.6,33.783,-82.817,GA
720294,74.6,33.78,-82.816,GA
722194,72.3,40.3,-88.15,IL
722194,72.3,40.293,-88.142,IL
726596,67.9,44.017,-92.833,MN
726596,67.9,44.018,-92.831,MN
722199,69.0,35.933,-95.0,OK
722199,69.0,35.929,-95.004,OK
720448,71.9,37.578,-84.77,KY
720448,71.9,37.578,-84.77,KY
726679,65.6,45.7,-92.95,MN
726679,65.6,45.698,-92.953,MN
726554,69.5,43.986,-94.558,MN
726554,69.5,43.986,-94.558,MN
720257,78.2,31.4,-84.9,GA
720257,78.2,31.397,-84.895,GA
720412,70.1,41.828,-94.16,IA
720412,70.1,41.828,-94.16,IA
720737,64.6,47.451,-99.151,ND
720737,64.6,47.451,-99.151,ND
722691,77.9,32.195,-81.87,GA
722691,77.9,32.2,-81.87,GA
720701,69.2,41.05,-93.683,IA
720701,69.2,41.052,-93.689,IA
720561,76.1,36.167,-96.15,OK
720561,76.1,36.175,-96.152,OK
720477,70.4,37.648,-92.652,MO
720966,74.0,33.227,-84.275,GA
720966,74.0,33.227,-84.275,GA
726415,72.4,42.62,-89.042,WI
726415,72.4,42.617,-89.033,WI
720291,84.3,32.75,-96.533,TX
720291,84.3,32.747,-96.531,TX
725477,69.6,41.986,-95.38,IA
725477,69.6,41.986,-95.381,IA
722167,67.8,38.25,-78.05,VA
722167,67.8,38.247,-78.046,VA
722248,86.6,30.131,-93.376,LA
724975,74.3,37.067,-89.217,IL
724975,74.3,37.064,-89.219,IL
726396,31.8,39.05,-105.51,CO
726396,31.8,39.05,-105.516,CO
720729,85.0,28.5,-95.717,TX
720729,85.0,28.5,-95.716,TX
744214,70.8,40.49,-85.68,IN
744214,70.8,40.483,-85.683,IN
720549,64.6,39.192,-119.734,NV
720549,64.6,39.183,-119.733,NV
722588,86.0,33.067,-96.067,TX
722588,86.0,33.068,-96.065,TX
746941,77.5,33.874,-88.49,MS
746941,77.5,36.261,-76.175,MS
746941,77.5,33.873,-88.49,MS
720367,66.0,45.372,-94.747,MN
720367,66.0,45.372,-94.746,MN
720545,71.7,41.384,-72.506,CT
720545,71.7,41.384,-72.506,CT
720665,84.4,27.2,-92.2,LA
720665,84.4,27.2,-92.2,LA
725405,67.1,43.317,-84.683,MI
725405,67.1,43.322,-84.688,MI
726577,70.5,45.15,-93.217,MN
726577,70.5,45.15,-93.217,MN
724053,66.8,39.15,-78.15,VA
724053,66.8,39.143,-78.144,VA
723654,59.3,35.879,-106.269,NM
723654,59.3,35.883,-106.283,NM
723625,59.7,35.167,-107.9,NM
723625,59.7,35.165,-107.902,NM
722333,47.6,38.1,-106.167,CO
722333,47.6,38.097,-106.169,CO
720596,74.1,34.3,-81.633,SC
720596,74.1,34.3,-81.633,SC
720401,73.6,35.6,-92.45,AR
720401,73.6,35.6,-92.45,AR
723114,66.1,38.017,-77.967,VA
723114,66.1,38.01,-77.97,VA
721034,85.3,30.879,-96.971,TX
727475,60.5,45.886,-93.272,MN
727475,60.5,45.886,-93.272,MN
726417,62.8,45.101,-90.303,WI
726417,62.8,45.101,-90.303,WI
724604,67.8,37.001,-101.88,KS
724604,67.8,37.0,-101.883,KS
720738,80.2,30.902,-83.881,GA
720738,80.2,30.902,-83.881,GA
722224,82.2,30.072,-83.574,FL
722224,82.2,30.069,-83.581,FL
724097,69.7,40.8,-74.417,NJ
724097,69.7,40.8,-74.417,NJ
720258,58.1,46.617,-93.317,MN
720258,58.1,46.619,-93.31,MN
720914,85.1,28.633,-91.483,LA
720914,85.1,28.633,-91.483,LA
726405,64.8,43.117,-88.033,WI
726405,64.8,43.109,-88.031,WI
727468,64.3,47.783,-93.65,MN
727468,64.3,47.783,-93.65,MN
720311,83.6,33.1,-94.967,TX
720311,83.6,33.096,-94.961,TX
721044,84.0,32.931,-96.435,TX
721044,84.0,32.931,-96.435,TX
720491,63.8,46.219,-97.643,ND
720491,63.8,46.217,-97.633,ND
720465,72.1,36.8,-84.2,KY
720425,66.4,37.163,-101.371,KS
722101,31.3,37.45,-106.8,CO
722101,31.3,37.45,-106.8,CO
720541,77.8,34.383,-89.533,MS
720541,77.8,34.383,-89.55,MS
722006,63.3,43.617,-96.217,MN
722006,63.3,43.621,-96.216,MN
742078,66.1,43.779,-71.754,NH
720639,83.0,30.533,-98.367,TX
724285,67.9,39.8,-82.917,OH
724285,67.9,39.817,-82.933,OH
727556,55.9,47.25,-91.417,MN
727556,55.9,47.249,-91.416,MN
722182,71.9,41.9,-89.083,IL
722182,71.9,41.893,-89.078,IL
725479,68.5,40.717,-95.033,IA
725479,68.5,40.722,-95.026,IA
726509,68.0,43.433,-88.7,WI
726509,68.0,43.426,-88.703,WI
720385,23.3,39.8,-105.767,CO
720385,23.3,39.8,-105.766,CO
721033,79.4,31.684,-83.27,GA
721033,79.4,31.684,-83.27,GA
727497,64.0,46.983,-94.2,MN
727497,64.0,46.99,-94.204,MN
722249,69.5,39.531,-84.395,OH
720724,70.0,34.646,-106.836,NM
