Avg Total Payments,Avg Covered Charges,Total Discharges,Avg Medicare Payments,admin1_id,Provider Id,admin2_id,lon,lat,date
8749.025109,35247.02815,58.75,7678.214348,USA101,10001,USA201069,-85.362856,31.216215,1/1/14 12:00 AM
6812.131224,16451.09204,28.95918367,5793.631429,USA101,10005,USA201119,-88.1427969,32.4529763,1/2/14 12:00 AM
8197.237907,36942.35744,45.36046512,7145.959535,USA101,10006,USA201077,-87.682872,34.794052,1/3/14 12:00 AM
4860.829091,12079.53682,27.40909091,4047.025455,USA101,10007,USA201039,-86.254597,31.291993,1/4/14 12:00 AM
5898.136667,16148.75222,17.88888889,4963.547778,USA101,10008,USA201041,-86.265102,31.693554,1/5/14 12:00 AM
5224.721176,35809.38941,20.70588235,4381.241765,USA101,10009,USA201103,-86.93656,34.446233,1/6/14 12:00 AM
6077.336444,15308.44289,34.6,5105.274889,USA101,10010,USA201119,-88.224821,32.409532,1/7/14 12:00 AM
8181.648391,27757.64,33.52873563,6810.42931,USA101,10011,USA201073,-86.667483,33.596166,1/8/14 12:00 AM
6038.119697,31654.49485,27.60606061,5095.807576,USA101,10012,USA201021,-86.720562,32.923695,1/9/14 12:00 AM
4763.557143,5919.61,13.71428571,4088.044286,USA101,10015,USA201025,-87.738262,31.931186,1/10/14 12:00 AM
7789.41625,39728.13025,31.4875,6563.419,USA101,10016,USA201117,-86.813535,33.252962,1/11/14 12:00 AM
6350.751935,15615.82613,30.35483871,5462.807581,USA101,10019,USA201033,-87.699894,34.745937,1/12/14 12:00 AM
7607.58,13649.64833,25.61111111,6830.735556,USA101,10021,USA201045,-85.631765,31.451582,1/13/14 12:00 AM
5855.472,16261.817,23.7,4944.541,USA101,10022,USA201019,-85.651428,34.161957,1/14/14 12:00 AM
9953.063913,32561.53902,40.36956522,8835.566739,USA101,10023,USA201101,-86.277056,32.32747,1/15/14 12:00 AM
8418.148675,31763.76301,45.01204819,7293.371205,USA101,10024,USA201101,-86.284935,32.366965,1/16/14 12:00 AM
6361.878611,10936.00167,21.44444444,5376.266667,USA101,10025,USA201017,-85.168965,32.824696,1/17/14 12:00 AM
4922.081429,5977.494286,16.57142857,3976.584286,USA101,10027,USA201031,-86.076329,31.429031,1/18/14 12:00 AM
8622.648602,16270.51355,43.94623656,7535.342581,USA101,10029,USA201081,-85.404121,32.63864,1/19/14 12:00 AM
5089.0925,13736.11375,16.625,4133.635,USA136,10032,USA236003,-77.78273,42.263007,1/20/14 12:00 AM
11891.73825,42990.54495,63.96907216,10075.09979,USA142,10033,USA242013,-78.393182,40.5009,1/21/14 12:00 AM
5768.832632,9027.552632,21.15789474,4898.526842,USA101,10034,USA201051,-85.91225,32.534187,1/22/14 12:00 AM
7121.139118,24887.97735,34.47058824,6128.232206,USA101,10035,USA201119,-88.177243,32.309744,1/23/14 12:00 AM
5335.045938,16640.355,31.6875,4289.795937,USA101,10036,USA201039,-86.495267,31.2971,1/24/14 12:00 AM
5998.901852,34750.73907,28.25925926,4734.420741,USA101,10038,USA201015,-85.823842,33.668184,1/25/14 12:00 AM
9303.363838,39445.16051,105.2323232,7874.759697,USA101,10039,USA201089,-86.581138,34.721397,1/26/14 12:00 AM
8364.478228,83017.32228,42.41772152,7097.977595,USA101,10040,USA201055,-85.966072,34.008019,1/27/14 12:00 AM
7726.314444,11487.61222,14.66666667,6963.345556,USA101,10043,USA201021,-86.621667,32.854315,1/28/14 12:00 AM
4883.668182,14465.30636,22.27272727,3979.911818,USA101,10044,USA201093,-87.99046,34.12598,1/29/14 12:00 AM
6347.125263,18978.66474,20.57894737,5481.684737,USA101,10045,USA201057,-87.824824,33.708019,1/30/14 12:00 AM
7937.244177,63094.22139,39.36708861,6819.652152,USA101,10046,USA201055,-86.003217,34.004294,1/31/14 12:00 AM
4830.358462,5473.910769,19.23076923,3937.2,USA101,10047,USA201013,-86.742999,31.636337,2/1/14 12:00 AM
4966.703235,27460.68882,28.61764706,3994.174412,USA101,10049,USA201031,-85.855113,31.318587,2/2/14 12:00 AM
6378.394,16928.05733,18.6,5353.231333,USA101,10050,USA201009,-86.494095,33.929839,2/3/14 12:00 AM
5604.908889,4729.851111,18.22222222,4819.193333,USA101,10051,USA201063,-87.89038,32.843192,2/4/14 12:00 AM
5670.852308,5274.113846,17.53846154,4921.880769,USA101,10052,USA201123,-85.741157,32.818434,2/5/14 12:00 AM
6787.38075,36101.84125,26.325,4854.3155,USA101,10054,USA201103,-87.015959,34.576881,2/6/14 12:00 AM
7813.773544,44747.83506,41.41772152,6607.851013,USA101,10055,USA201069,-85.4571,31.237499,2/7/14 12:00 AM
4955.605,7683.035,14,4194.32,USA101,10058,USA201007,-87.14808,32.951237,2/8/14 12:00 AM
7102.921905,15661.4119,24,6292.840952,USA101,10059,USA201079,-87.285437,34.483266,2/9/14 12:00 AM
5697.191724,13349.20552,40.96551724,4804.881034,USA101,10061,USA201071,-86.047465,34.661724,2/10/14 12:00 AM
5619.870952,8200.57,21.85714286,4808.32381,USA101,10062,USA201061,-85.89218,31.049,2/11/14 12:00 AM
6721.815,11740.69375,24.275,5715.84825,USA101,10065,USA201123,-85.969728,32.930727,2/12/14 12:00 AM
4478.825,7253.55,14,3686.6,USA101,10066,USA201039,-86.332011,31.007754,2/13/14 12:00 AM
5529.087143,12240.80571,22.76190476,4590.322857,USA101,10069,USA201005,-85.156429,31.888585,2/14/14 12:00 AM
7856.210227,31245.94943,41.5,6866.435568,USA101,10078,USA201015,-85.823568,33.655647,2/15/14 12:00 AM
6542.302051,14413.38744,28.23076923,5467.741795,USA101,10079,USA201083,-86.9789,34.804133,2/16/14 12:00 AM
6358.849592,43503.50041,30.53061224,5314.297347,USA101,10083,USA201003,-87.684042,30.42586,2/17/14 12:00 AM
7915.265231,12287.63785,37,6808.000923,USA101,10085,USA201103,-86.971843,34.590822,2/18/14 12:00 AM
5809.257931,20743.87103,26.89655172,4872.940345,USA101,10086,USA201119,-88.1427969,32.4529763,2/19/14 12:00 AM
12398.42333,16821.2775,16.66666667,11092.03167,USA101,10087,USA201097,-88.098131,30.707398,2/20/14 12:00 AM
7006.30807,28233.67246,31.0877193,5934.821404,USA101,10089,USA201127,-87.235745,33.842396,2/21/14 12:00 AM
8124.405,26502.51779,37.79069767,6599.197907,USA101,10090,USA201097,-88.198942,30.679216,2/22/14 12:00 AM
3998.959,7303.153,18.5,3238.351,USA101,10091,USA201077,-87.560762,34.946684,2/23/14 12:00 AM
9090.1542,32934.1235,81.93,7909.1796,USA101,10092,USA201125,-87.526815,33.20453,2/24/14 12:00 AM
5125.016667,5922.723333,16.33333333,4220.566667,USA101,10095,USA201105,-87.452156,32.689666,2/25/14 12:00 AM
4833.426667,5404.585556,47.55555556,3915.198889,USA101,10097,USA201051,-86.186383,32.552319,2/26/14 12:00 AM
4371.457273,8337.2,27,3449.167273,USA101,10099,USA201053,-87.073175,31.126953,2/27/14 12:00 AM
7311.246667,26109.15136,31.07575758,6192.887424,USA101,10100,USA201003,-87.889283,30.519024,2/28/14 12:00 AM
6521.024333,19891.306,19.9,5475.853667,USA101,10101,USA201121,-86.090206,33.44017,3/1/14 12:00 AM
4852.25,4616.58,12,4008.58,USA101,10102,USA201131,-87.300159,31.997549,3/2/14 12:00 AM
9206.663176,51422.37918,38.95294118,8076.465765,USA101,10103,USA201073,-86.847462,33.498388,3/3/14 12:00 AM
8911.523133,64692.90193,37.55421687,7479.75988,USA101,10104,USA201073,-86.749052,33.517322,3/4/14 12:00 AM
4968.15375,20194.90542,22.75,4014.679167,USA101,10108,USA201001,-86.451878,32.464014,3/5/14 12:00 AM
8220.015556,12845.69056,20.83333333,7456.655,USA101,10109,USA201107,-88.088574,33.274505,3/6/14 12:00 AM
4111.356667,11114.90667,22.66666667,3329.556667,USA101,10110,USA201009,-86.360422,34.15075,3/7/14 12:00 AM
4370.2724,7872.328,29.56,3546.586,USA101,10112,USA201091,-87.836395,32.504433,3/8/14 12:00 AM
8142.155773,27144.53443,73.95876289,6778.547938,USA101,10113,USA201097,-88.080858,30.696642,3/9/14 12:00 AM
7539.343818,27290.02327,27.8,6353.002182,USA101,10114,USA201073,-86.991025,33.372805,3/10/14 12:00 AM
8374.906557,29469.45295,33.86885246,7454.325082,USA101,10118,USA201047,-87.055904,32.429529,3/11/14 12:00 AM
4951.364286,11540.99857,21.23809524,4091.472857,USA101,10120,USA201099,-87.320739,31.497873,3/12/14 12:00 AM
7191.84381,21342.79048,19.52380952,6315.693333,USA101,10126,USA201109,-85.945546,31.781411,3/13/14 12:00 AM
4363.674286,5208.085714,18.85714286,3365.814286,USA101,10128,USA201025,-87.894848,31.531077,3/14/14 12:00 AM
6443.004545,12831.99182,17.09090909,5414.960909,USA101,10129,USA201003,-87.784864,30.903632,3/15/14 12:00 AM
6017.419167,16906.32,21.5,4926.723333,USA101,10130,USA201115,-86.301862,33.604436,3/16/14 12:00 AM
